,whole_brain,heart,muscle_skeletal,skin,liver,nerve_tibial,testis,whole_blood
XGB,0.7619929911358483,0.8709029291101884,0.8334175084175084,0.7743241943241942,0.7708032708032707,0.766103475026034,0.7051270278543006,0.8084595959595959
RF,0.6945819206005507,0.8741205139266823,0.8462351751290805,0.8065908164054876,0.782214261939253,0.7570143967612766,0.7709094159008715,0.847639019553873
LR,0.7455530818387961,0.850311447811448,0.8364607614607615,0.7154112554112554,0.7351851851851852,0.723683261183261,0.6876951331496786,0.7676767676767676
LR+GB,0.7423755926613069,0.8476388888888889,0.8421976171976172,0.7279220779220779,0.7582010582010582,0.7313852813852812,0.7124961738598101,0.7758838383838383
MLP,0.7531989280560709,0.8541540404040404,0.8314944314944315,0.7058537758537758,0.7303270803270804,0.7375901875901876,0.7020431588613407,0.7132575757575758
meta_MLP,0.7652079198468034,0.8738005050505051,0.8706293706293705,0.8113997113997113,0.7867003367003367,0.7903679653679654,0.7513391490664217,0.8674242424242424
