,whole_brain,heart,muscle_skeletal,skin,liver,nerve_tibial,testis,whole_blood
XGB,0.08455580400563031,0.2825835652686654,0.17513267034551655,0.09423056471734262,0.02297771800602777,0.036242299737948,0.048222929480174204,0.06517302745624781
RF,0.058538142274876824,0.2338881271446558,0.1268667499300902,0.10334954019095266,0.04237576676858363,0.034639478112318156,0.07756726463695143,0.10198714228273509
LR,0.08380465940446256,0.2692235677575743,0.15023383253935255,0.07576961690694581,0.03629039943957338,0.05811739145112601,0.024790618419553403,0.03051623426677383
LR+GB,0.08264541219237116,0.26681845818221145,0.1460186954535496,0.05265811220292429,0.019721553680887745,0.05209613825664629,0.030695635258050476,0.04446781939274328
MLP,0.09374725484514654,0.2754871900445123,0.13009029933209565,0.05791499990953639,0.00961170209908243,0.025394960945159927,0.030905198945224883,0.03276204247267464
meta_MLP,0.09305548291143038,0.30672660371334726,0.17812561486782777,0.11586192762730749,0.03387812072787358,0.06666611951696153,0.07417317302102207,0.08863412779908357
