,Blood,Brain,Heart,Liver,Muscle,Nerve,Skin,Testis
Blood,0.0342207287841623,0.0,0.0009890053665851453,0.0,0.0026735572549204055,0.018289632180515884,0.0015571745849002714,0.0
Brain,0.6920269336716907,0.5064429984512286,0.09258768198844786,0.4030588717694183,0.01206535618904856,0.7027647439026236,0.050908037383529364,0.21910462906975375
Heart,0.03271816418966448,0.011778689546345589,0.44004115836693203,0.014663724252563036,0.026045824606625113,0.011791791531091252,0.010354218222845853,0.006483510102444139
Liver,0.061702814610011966,0.0018270941886600102,0.00040527572098368267,0.2189966183773443,0.081473241485577,0.003134692092352356,0.0006299833277394115,0.006326040119407678
Muscle,0.0,0.024340476141609287,0.0,0.045514596350943355,0.7126957508102871,0.0,0.0,0.0
Nerve,0.00044370154326799115,0.0,0.01602176859406912,0.0,0.0,0.053086711982383614,0.0,0.0
Skin,0.0,0.03331724652504338,0.0011356458518158982,0.00014505628780168018,0.004505112129665778,0.0,0.6776586334326878,0.0
Testis,0.002715803848332243,0.0,0.008013861101982201,0.138892506450243,9.383532653898507e-05,0.002224539053547091,0.003188269274843976,0.20003576155696148
